Type,Price,Quantity
Ask,708.12000000,14.33300000
Ask,708.13000000,2.88600000
Ask,708.14000000,2.77100000
Ask,708.15000000,10.79800000
Ask,708.16000000,14.93200000
Ask,708.17000000,10.67600000
Ask,708.18000000,6.27800000
Ask,708.19000000,10.67400000
Ask,708.20000000,9.90000000
Ask,708.21000000,0.01900000
Ask,708.22000000,13.14800000
Ask,708.23000000,8.83300000
Ask,708.24000000,40.65900000
Ask,708.25000000,116.89200000
Ask,708.26000000,0.03700000
Ask,708.27000000,3.74200000
Ask,708.28000000,14.14700000
Ask,708.29000000,2.84500000
Ask,708.30000000,2.62900000
Ask,708.31000000,6.67600000
Ask,708.32000000,13.99400000
Ask,708.33000000,6.91100000
Ask,708.34000000,3.38500000
Ask,708.35000000,5.54500000
Ask,708.36000000,17.26100000
Ask,708.37000000,6.62300000
