Timestamp,Open,High,Low,Close,Volume
1704556800000,99.89000000,100.86000000,99.26000000,99.95000000,7769.90600000
1704571200000,99.97000000,100.26000000,98.10000000,99.43000000,9032.09600000
1704585600000,99.43000000,100.54000000,98.65000000,99.29000000,12338.29900000
1704600000000,99.27000000,100.28000000,99.00000000,99.96000000,3991.80500000
1704614400000,99.93000000,100.19000000,97.60000000,98.46000000,10155.25200000
1704628800000,98.43000000,99.72000000,97.42000000,97.89000000,7560.88700000
1704643200000,97.93000000,98.66000000,96.44000000,98.49000000,11400.98800000
1704657600000,98.48000000,98.62000000,93.66000000,94.94000000,20073.18200000
1704672000000,94.92000000,95.01000000,88.45000000,90.54000000,47068.08800000
1704686400000,90.51000000,94.96000000,90.23000000,93.79000000,29291.73400000
1704700800000,93.82000000,95.45000000,93.53000000,95.34000000,16151.55700000
1704715200000,95.37000000,97.27000000,95.00000000,95.58000000,35701.97100000
1704729600000,95.62000000,100.00000000,94.68000000,99.43000000,29959.05600000
1704744000000,99.43000000,99.81000000,97.79000000,99.00000000,26034.07300000
1704758400000,99.02000000,99.26000000,96.41000000,97.13000000,23325.27100000
1704772800000,97.12000000,98.31000000,96.80000000,97.39000000,13248.11500000
1704787200000,97.36000000,97.46000000,94.68000000,95.26000000,15044.66300000
1704801600000,95.23000000,95.70000000,92.39000000,93.51000000,29771.93400000
1704816000000,93.53000000,95.33000000,92.61000000,94.28000000,15195.19200000
1704830400000,94.32000000,96.99000000,92.40000000,96.46000000,47032.44800000
1704844800000,96.41000000,99.12000000,96.00000000,98.06000000,28494.70600000
1704859200000,97.97000000,99.50000000,97.43000000,98.66000000,13661.85300000
1704873600000,98.69000000,103.81000000,97.45000000,101.53000000,70108.01800000
1704888000000,101.50000000,102.65000000,97.71000000,102.38000000,49403.18500000
1704902400000,102.36000000,103.78000000,100.27000000,103.56000000,24335.03100000
1704916800000,103.56000000,110.07000000,100.99000000,107.08000000,110383.41900000
1704931200000,107.09000000,110.82000000,106.23000000,109.80000000,41995.82800000
1704945600000,109.78000000,111.44000000,107.68000000,108.90000000,37252.56300000
1704960000000,108.86000000,116.57000000,108.77000000,116.44000000,53956.34100000
1704974400000,116.42000000,118.03000000,108.05000000,109.45000000,151289.13700000
1704988800000,109.44000000,110.56000000,106.58000000,110.33000000,41074.40700000
1705003200000,110.32000000,110.58000000,107.76000000,109.63000000,25146.65500000
1705017600000,109.61000000,110.00000000,107.45000000,108.32000000,16349.99800000
1705032000000,108.27000000,110.44000000,107.62000000,109.18000000,19339.37600000
1705046400000,109.11000000,111.54000000,107.51000000,111.48000000,26865.16800000
1705060800000,111.51000000,113.96000000,108.30000000,109.06000000,58915.01900000
1705075200000,108.98000000,110.26000000,103.69000000,105.65000000,45226.45300000
1705089600000,105.67000000,106.36000000,99.81000000,103.00000000,32292.29800000
1705104000000,103.00000000,103.73000000,100.66000000,102.89000000,15948.75500000
1705118400000,102.94000000,104.73000000,102.67000000,104.31000000,10475.43100000
1705132800000,104.29000000,105.46000000,103.60000000,103.96000000,10651.94000000
1705147200000,103.94000000,106.16000000,103.83000000,105.84000000,19178.12900000
1705161600000,105.83000000,107.75000000,105.33000000,106.52000000,16643.98000000
1705176000000,106.47000000,106.98000000,105.80000000,106.00000000,17577.28600000
1705190400000,106.01000000,106.10000000,103.40000000,103.47000000,16265.26000000
1705204800000,103.47000000,104.24000000,102.47000000,103.74000000,8454.50500000
1705219200000,103.74000000,104.06000000,102.74000000,102.86000000,6302.74100000
1705233600000,102.90000000,103.71000000,102.38000000,103.63000000,12112.64400000
1705248000000,103.64000000,103.94000000,101.00000000,101.20000000,15175.57300000
1705262400000,101.14000000,102.48000000,99.15000000,99.42000000,18284.12100000
1705276800000,99.43000000,101.72000000,99.28000000,101.32000000,14388.41800000
1705291200000,101.34000000,102.21000000,100.94000000,101.33000000,14021.97800000
1705305600000,101.35000000,102.62000000,100.82000000,102.40000000,17046.80700000
1705320000000,102.43000000,102.92000000,100.39000000,101.15000000,21794.93800000
1705334400000,101.14000000,103.36000000,101.05000000,102.47000000,13880.54000000
1705348800000,102.48000000,103.18000000,101.32000000,101.80000000,9394.80900000
1705363200000,101.88000000,112.09000000,101.74000000,108.29000000,101811.46600000
1705377600000,108.29000000,109.22000000,105.27000000,106.32000000,37674.19100000
1705392000000,106.31000000,107.47000000,105.32000000,105.73000000,35906.29200000
1705406400000,105.70000000,106.40000000,102.31000000,105.08000000,29884.89700000
1705420800000,105.06000000,105.39000000,102.75000000,103.46000000,21476.14300000
1705435200000,103.48000000,105.00000000,102.57000000,103.59000000,27924.24500000
1705449600000,103.61000000,104.20000000,102.00000000,102.04000000,21852.30300000
1705464000000,102.03000000,102.53000000,100.73000000,101.14000000,21268.26400000
1705478400000,101.14000000,102.59000000,100.60000000,101.72000000,12394.32100000
1705492800000,101.75000000,102.41000000,100.86000000,101.09000000,22813.84100000
1705507200000,101.15000000,101.68000000,100.26000000,100.91000000,12864.33700000
1705521600000,100.90000000,101.39000000,99.94000000,101.38000000,10653.51200000
1705536000000,101.40000000,101.61000000,100.00000000,100.91000000,9635.20400000
1705550400000,100.89000000,101.65000000,100.47000000,101.58000000,6392.12200000
1705564800000,101.59000000,101.74000000,99.92000000,100.42000000,12687.20400000
1705579200000,100.41000000,100.42000000,98.63000000,99.87000000,21383.84900000
1705593600000,99.92000000,100.13000000,95.00000000,95.98000000,33819.15100000
1705608000000,95.97000000,97.81000000,95.86000000,96.89000000,19628.97600000
1705622400000,96.92000000,97.17000000,94.59000000,96.11000000,25268.46700000
1705636800000,96.19000000,97.26000000,96.03000000,96.41000000,21140.23500000
1705651200000,96.42000000,97.88000000,96.02000000,97.34000000,8757.93900000
1705665600000,97.33000000,97.50000000,94.69000000,95.10000000,21359.60700000
1705680000000,95.10000000,96.56000000,91.52000000,96.29000000,48779.43700000
1705694400000,96.29000000,97.11000000,95.83000000,97.07000000,10898.01400000
1705708800000,97.07000000,98.32000000,96.64000000,97.92000000,15831.93000000
