Timestamp,Open,High,Low,Close,Volume
1704556800000,43879.25000000,43952.87000000,43832.91000000,43921.33000000,0.37769000
1704560400000,43916.86000000,44015.64000000,43857.47000000,44015.64000000,0.21848000
1704564000000,44005.09000000,44120.33000000,43904.30000000,43982.70000000,0.08611000
1704567600000,43937.19000000,43959.65000000,43808.95000000,43808.95000000,0.09215000
1704571200000,43808.95000000,43844.55000000,43588.03000000,43788.06000000,0.06811000
1704574800000,43760.85000000,43870.82000000,43698.93000000,43847.55000000,0.41674000
1704578400000,43848.57000000,43864.59000000,43694.80000000,43809.79000000,0.26561000
1704582000000,43829.48000000,43941.57000000,43697.10000000,43941.57000000,0.40154000
1704585600000,43941.57000000,44199.71000000,43941.57000000,44052.43000000,0.17817000
1704589200000,44055.71000000,44095.81000000,43913.92000000,43913.92000000,0.12760000
1704592800000,43937.47000000,44115.28000000,43862.38000000,43862.38000000,21.01395000
1704596400000,43903.33000000,43961.87000000,43864.87000000,43896.94000000,0.04152000
1704600000000,43911.26000000,43917.42000000,43895.12000000,43895.12000000,0.02747000
1704603600000,44026.85000000,44032.11000000,43808.95000000,43808.95000000,0.07141000
1704607200000,43827.48000000,44036.61000000,43808.95000000,43994.00000000,0.00208000
1704610800000,43999.72000000,44063.60000000,43980.63000000,44037.41000000,0.01215000
1704614400000,44087.73000000,44109.27000000,43943.45000000,43943.45000000,2.09437000
1704618000000,43979.98000000,43995.00000000,43844.13000000,43889.70000000,0.24416000
1704621600000,43889.70000000,43929.76000000,43848.43000000,43907.68000000,0.00217000
1704625200000,43916.58000000,44087.73000000,43863.72000000,44035.67000000,1.13082000
1704628800000,44048.90000000,44106.03000000,43956.97000000,44076.30000000,0.01454000
1704632400000,44093.48000000,44426.79000000,44092.88000000,44378.71000000,1.06481000
1704636000000,44415.03000000,44467.43000000,44270.37000000,44362.70000000,0.05552000
1704639600000,44392.81000000,44392.81000000,43959.58000000,44036.16000000,0.06417000
1704643200000,44064.07000000,44157.16000000,43820.19000000,43910.67000000,0.06545000
1704646800000,43908.24000000,44097.68000000,43682.98000000,44017.16000000,0.12764000
1704650400000,44062.00000000,44208.80000000,44020.51000000,44106.52000000,0.18289000
1704654000000,44108.09000000,44216.86000000,44071.62000000,44174.57000000,0.12301000
1704657600000,44237.89000000,44242.37000000,44069.92000000,44144.39000000,0.61715000
1704661200000,44113.76000000,44200.43000000,44113.76000000,44200.43000000,0.40950000
1704664800000,44161.96000000,44185.16000000,43743.40000000,43879.68000000,1.49881000
1704668400000,43996.01000000,44010.07000000,43515.16000000,43846.70000000,0.12212000
1704672000000,43892.99000000,44121.80000000,43588.80000000,43612.89000000,1.79811000
1704675600000,43601.65000000,43759.10000000,43539.60000000,43650.25000000,0.36980000
1704679200000,43683.93000000,43737.81000000,43149.51000000,43345.57000000,0.47621000
1704682800000,43306.04000000,43534.60000000,43149.51000000,43501.29000000,0.26376000
1704686400000,43494.16000000,43544.95000000,43389.08000000,43544.95000000,0.77258000
1704690000000,43553.15000000,43588.03000000,43441.81000000,43588.01000000,0.12404000
1704693600000,43588.03000000,44243.15000000,43588.03000000,43858.28000000,0.57806000
1704697200000,43898.35000000,44038.59000000,43796.77000000,43945.32000000,0.32106000
1704700800000,43921.12000000,44062.10000000,43808.95000000,43808.95000000,0.57103000
1704704400000,43808.95000000,43890.00000000,43657.34000000,43657.34000000,0.37406000
1704708000000,43683.89000000,44067.47000000,43683.89000000,44041.02000000,0.32193000
1704711600000,44041.18000000,44587.87000000,43881.86000000,44585.41000000,2.19006000
